,Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T [K],pH ,Keq,Km,Enthalpy [kJ / mol],solutes [mol / dm^3],solutes [mol / kg],Ionic strength [mol / kg],Ionic strength [mol / dm^3],Experimental conditions
3360,nan,nan,nan,nan,nan,nan,310.15,6.54,nan,0.694,nan,nan,0.2 total & 0.2 total,nan,nan,nan
3361,nan,nan,nan,nan,nan,nan,310.15,6.59,nan,0.565,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3362,nan,nan,nan,nan,nan,nan,310.15,6.61,nan,0.756,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3363,nan,nan,nan,nan,nan,nan,310.15,6.68,nan,0.644,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3364,nan,nan,nan,nan,nan,nan,310.15,6.74,nan,1.051,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3365,nan,nan,nan,nan,nan,nan,310.15,6.85,nan,1.13,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3366,nan,nan,nan,nan,nan,nan,310.15,7.05,nan,1.71,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3367,nan,nan,nan,nan,nan,nan,310.15,7.32,nan,4.16,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3368,nan,nan,nan,nan,nan,nan,310.15,7.55,nan,7.46,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3369,nan,nan,nan,nan,nan,nan,316.15,6.59,nan,0.725,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3370,nan,nan,nan,nan,nan,nan,316.15,6.65,nan,0.879,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3371,nan,nan,nan,nan,nan,nan,322.15,6.53,nan,0.776,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3372,nan,nan,nan,nan,nan,nan,322.15,6.75,nan,1.19,nan,nan,0.0 total & 0.0 total,nan,nan,nan
3373,Tewari Y.B.; Goldberg R.N.; Biophys. Chem.; 29 245 (1988).,88TEW/GOL_1012," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate (0.1 mol dm-3), A,298.15,6,nan,nan,19.73,nan,nan,nan,nan,nan
3374,nan,nan,nan,nan,nan,nan,298.15,6.54,nan,nan,22.95,nan,nan,nan,nan,nan
3375,nan,nan,nan,nan,nan,nan,298.15,7,nan,nan,23.8,nan,nan,nan,nan,nan
3376,nan,nan,nan,nan,nan,nan,304.4,6,nan,nan,19.63,nan,nan,nan,nan,nan
3377,nan,nan,nan,nan,nan,nan,304.4,6.54,nan,nan,22.91,nan,nan,nan,nan,nan
3378,nan,nan,nan,nan,nan,nan,304.4,7,nan,nan,23.44,nan,nan,nan,nan,nan
3379,nan,nan,nan,nan,nan,nan,304.4,7.44,nan,nan,23.26,nan,nan,nan,nan,nan
3380,nan,nan,nan,nan,nan,nan,310.15,6,nan,nan,19.6,nan,nan,nan,nan,nan
3381,nan,nan,nan,nan,nan,nan,310.15,6.54,nan,nan,22.61,nan,nan,nan,nan,nan
3382,nan,nan,nan,nan,nan,nan,310.15,7,nan,nan,23.48,nan,nan,nan,nan,nan
3383,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1339," 5.3.1.6                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.1 mol dm-3), B,298.15,8.52,nan,nan,~14,nan,nan,nan,nan,nan
3384,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1347," 5.3.1.8                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.1 mol dm-3), A,298.15,8.5,0.99,nan,nan,nan,nan,nan,nan,nan
3385,nan,nan,nan,nan,nan,nan,304.75,8.5,1.03,nan,nan,nan,nan,nan,nan,nan
3386,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1348," 5.3.1.8                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.1 mol dm-3), A,298.15,8.5,nan,nan,8.46,nan,nan,nan,nan,nan
3387,nan,nan,nan,nan,nan,nan,304.74,8.5,nan,nan,8.71,nan,nan,nan,nan,nan
3388,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1360," 5.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.7,0.287,nan,nan,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3389,nan,nan,nan,nan,nan,nan,298.15,8.7,0.293,nan,nan,0.1 Tris & 0.1 Tris & 0.001 MgCl2,nan,nan,nan,nan
3390,nan,nan,nan,nan,nan,nan,298.15,8.7,0.299,nan,nan,0.3 Tris & 0.3 Tris & 0.001 MgCl2,nan,nan,nan,nan
3391,nan,nan,nan,nan,nan,nan,298.15,8.7,0.302,nan,nan,0.64 Tris & 0.64 Tris & 0.001 MgCl2,nan,nan,nan,nan
3392,nan,nan,nan,nan,nan,nan,298.15,8.7,0.308,nan,nan,0.1 Tris & 0.1 Tris & 0.0025 MgCl2,nan,nan,nan,nan
3393,nan,nan,nan,nan,nan,nan,304.95,8.7,0.31,nan,nan,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3394,nan,nan,nan,nan,nan,nan,310.15,8.7,0.329,nan,nan,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3395,nan,nan,nan,nan,nan,nan,316.15,8.7,0.357,nan,nan,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3396,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1361," 5.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.7,nan,nan,11.65,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3397,nan,nan,nan,nan,nan,nan,298.15,8.7,nan,nan,11.77,0.1 Tris & 0.1 Tris & 0.001 MgCl2,nan,nan,nan,nan
3398,nan,nan,nan,nan,nan,nan,298.15,8.7,nan,nan,11.69,0.3 Tris & 0.3 Tris & 0.001 MgCl2,nan,nan,nan,nan
3399,nan,nan,nan,nan,nan,nan,298.15,8.7,nan,nan,11.67,0.64 Tris & 0.64 Tris & 0.001 MgCl2,nan,nan,nan,nan
3400,nan,nan,nan,nan,nan,nan,298.15,8.7,nan,nan,11.63,0.1 Tris & 0.1 Tris & 0.0025 MgCl2,nan,nan,nan,nan
3401,nan,nan,nan,nan,nan,nan,304.95,8.7,nan,nan,11.82,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3402,nan,nan,nan,nan,nan,nan,310.15,8.7,nan,nan,12.17,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3403,nan,nan,nan,nan,nan,nan,316.15,8.7,nan,nan,12.42,0.1 Tris & 0.1 Tris & 0.0001 MgCl2,nan,nan,nan,nan
3404,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_766," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and chromatography, Tris (0.1 mol dm-3) + HCl, A,298.15,8.4,262,nan,nan,nan,nan,nan,0.29,nan
3405,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_767," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.85,nan,nan,-7.43,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3406,nan,nan,nan,nan,nan,nan,304.8,8.85,nan,nan,-7.58,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3407,nan,nan,nan,nan,nan,nan,311.15,7.87,nan,nan,-5.52,0.1 Tris & 0.1 Tris & 0.0061 MgCl2,nan,nan,nan,nan
3408,nan,nan,nan,nan,nan,nan,311.15,8.42,nan,nan,-6.7,0.1 Tris & 0.1 Tris & 0.0061 MgCl2,nan,nan,nan,nan
3409,nan,nan,nan,nan,nan,nan,311.15,8.54,nan,nan,-6.9,0.1 Tris & 0.1 Tris & 0.0061 MgCl2,nan,nan,nan,nan
3410,nan,nan,nan,nan,nan,nan,311.15,8.62,nan,nan,-6.82,0.1 Tris & 0.1 Tris & 0.0061 MgCl2,nan,nan,nan,nan
3411,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-8.08,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3412,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-8.52,0.3 Tris & 0.3 Tris & 0.00078 MgCl2,nan,nan,nan,nan
3413,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-9.25,0.64 Tris & 0.64 Tris & 0.00078 MgCl2,nan,nan,nan,nan
3414,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-7.99,0.1 Tris & 0.1 Tris & 0.0011 MgCl2,nan,nan,nan,nan
3415,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-7.07,0.1 Tris & 0.1 Tris & 0.0032 MgCl2,nan,nan,nan,nan
3416,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,-7.29,0.1 Tris & 0.1 Tris & 0.0056 MgCl2,nan,nan,nan,nan
3417,nan,nan,nan,nan,nan,nan,311.15,8.99,nan,nan,-6.95,0.1 Tris & 0.1 Tris & 0.0061 MgCl2,nan,nan,nan,nan
3418,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_775," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris + (HCl or HNO3), A,298.15,8.9,nan,nan,0.99,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3419,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,0.47,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3420,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,0.42,0.1 Tris & 0.1 Tris & 0.00108 MgCl2,nan,nan,nan,nan
3421,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,0.8,0.1 Tris & 0.1 Tris & 0.0032 MgCl2,nan,nan,nan,nan
3422,nan,nan,nan,nan,nan,nan,311.15,8.8,nan,nan,1.17,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3423,nan,nan,nan,nan,nan,nan,311.15,7.87,nan,nan,2.46,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3424,nan,nan,nan,nan,nan,nan,298.15,8.9,nan,nan,0.94,0.1 Tris & 0.1 Tris & 0.001 MgCl2,nan,nan,nan,nan
3425,nan,nan,nan,nan,nan,nan,304.8,8.9,nan,nan,0.76,0.1 Tris & 0.1 Tris & 0.00054 MgCl2,nan,nan,nan,nan
3426,nan,nan,nan,nan,nan,nan,311.15,8.53,nan,nan,1.17,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3427,nan,nan,nan,nan,nan,nan,311.15,8.58,nan,nan,1.09,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3428,nan,nan,nan,nan,nan,nan,311.15,8.68,nan,nan,1.37,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3429,nan,nan,nan,nan,nan,nan,311.15,8.83,nan,nan,0.18,0.3 Tris & 0.3 Tris & 0.00066 MgCl2,nan,nan,nan,nan
3430,nan,nan,nan,nan,nan,nan,311.15,8.83,nan,nan,-0.44,0.64 Tris & 0.64 Tris & 0.00066 MgCl2,nan,nan,nan,nan
3431,nan,nan,nan,nan,nan,nan,311.15,9.15,nan,nan,0.95,0.1 Tris & 0.1 Tris & 0.0063 MgCl2,nan,nan,nan,nan
3432,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_787," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.6,nan,nan,1.78,nan,nan,nan,nan,nan
3433,nan,nan,nan,nan,nan,nan,304.65,8.6,nan,nan,1.48,nan,nan,nan,nan,nan
3434,nan,nan,nan,nan,nan,nan,310.15,8.6,nan,nan,1.22,nan,nan,nan,nan,nan
3435,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_813," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.4,nan,nan,-5.03,nan,nan,nan,nan,nan
3436,nan,nan,nan,nan,nan,nan,304.65,8.4,nan,nan,-5.57,nan,nan,nan,nan,nan
3437,nan,nan,nan,nan,nan,nan,310.15,8.4,nan,nan,-5.76,nan,nan,nan,nan,nan
3438,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_814," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris, A,298.15,8.5,nan,nan,-11.96,nan,nan,nan,nan,nan
3439,nan,nan,nan,nan,nan,nan,304.65,8.5,nan,nan,-12.46,nan,nan,nan,nan,nan
3440,nan,nan,nan,nan,nan,nan,310.15,8.5,nan,nan,-13.07,nan,nan,nan,nan,nan
3441,Airas R.K.; Acta Chem. Scand.; 43 386 (1989).,89AIR_1032," 3.5.1.22                                                    (ENZYME |                                                 KEGG)                                                ", paper chromatography and radioactivity, Tris (0.025 mol dm-3) and Tricine (0.025 mol dm-3), B,284.95,8.1,0.0383,nan,nan,nan,nan,nan,nan,nan
3442,nan,nan,nan,nan,nan,nan,287.75,8.1,0.0411,nan,nan,nan,nan,nan,nan,nan
3443,nan,nan,nan,nan,nan,nan,292.35,8.1,0.0664,nan,nan,nan,nan,nan,nan,nan
3444,nan,nan,nan,nan,nan,nan,295.65,8.1,0.0655,nan,nan,nan,nan,nan,nan,nan
3445,nan,nan,nan,nan,nan,nan,298.15,8.1,0.079,nan,nan,nan,nan,nan,nan,nan
3446,nan,nan,nan,nan,nan,nan,299.25,8.1,0.0764,nan,nan,nan,nan,nan,nan,nan
3447,Berger R.L.; Mudd C.P.; Clem T.; Kolobow T.; Beile E.; Simons P.C.; Michel S.; McClintock W.; J. Biochem. Biophys. Meth.; 18 113 (1989).,89BER/MUD_947," 3.2.2.5                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Bis-tris (0.2 mol dm-3), B,298.15,7.4,nan,nan,25.8,nan,nan,nan,nan,nan
3448,Eldar H.; Degani H.; Magn. Reson. Med.; 11 121 (1989).,89ELD/DEG_602," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", NMR, Hepes (0.050 mol dm-3), B,286.65,8.2,0.033,nan,nan,nan,nan,nan,nan,nan
3449,nan,nan,nan,nan,nan,nan,295.15,8.2,0.0406,nan,nan,nan,nan,nan,nan,nan
3450,nan,nan,nan,nan,nan,nan,303.15,8.2,0.0417,nan,nan,nan,nan,nan,nan,nan
3451,nan,nan,nan,nan,nan,nan,308.15,8.2,0.0453,nan,nan,nan,nan,nan,nan,nan
3452,Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_588," 2.7.3.1                                                    (ENZYME |                                                 KEGG)                                                ", NMR and enzymatic assay, mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), C,308.15,7.25,29,nan,nan,nan,nan,nan,nan,nan
3453,Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_621," 2.7.3.3                                                    (ENZYME |                                                 KEGG)                                                ", NMR and enzymatic assay, mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), C,308.15,7.25,13,nan,nan,nan,nan,nan,nan,nan
3454,Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_625," 2.7.3.4                                                    (ENZYME |                                                 KEGG)                                                ", NMR and enzymatic assay, mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), C,308.15,7.25,29,nan,nan,nan,nan,nan,nan,nan
3455,Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_627," 2.7.3.5                                                    (ENZYME |                                                 KEGG)                                                ", NMR and enzymatic assay, mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), C,308.15,7.25,32,nan,nan,nan,nan,nan,nan,nan
3456,Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_1405," 5.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, Tris (0.1 mol dm-3) + HCl, A,298.15,8.48,17.1,nan,nan,nan,nan,nan,nan,nan
3457,Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_418," 2.4.1.7                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, Tris (0.1 mol dm-3) + HCl, A,298.15,8.25,31.5,nan,nan,nan,nan,nan,nan,nan
3458,Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931," 3.2.1.23                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, sodium acetate (0.1 mol dm-3), A,286.15,5.65,nan,35.2,nan,nan,nan,nan,nan,nan
3459,nan,nan,nan,nan,nan,nan,292.15,5.65,nan,32.2,nan,nan,nan,nan,nan,nan
3460,nan,nan,nan,nan,nan,nan,298.15,5.65,nan,34,nan,nan,nan,nan,nan,nan
3461,nan,nan,nan,nan,nan,nan,304.15,5.65,nan,32.4,nan,nan,nan,nan,nan,nan
3462,nan,nan,nan,nan,nan,nan,310.15,5.65,nan,34.8,nan,nan,nan,nan,nan,nan
3463,Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_932," 3.2.1.23                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium acetate (0.1 mol dm-3), A,298.15,5.65,nan,nan,0.466,nan,nan,nan,nan,nan
3464,nan,nan,nan,nan,nan,nan,304.65,5.65,nan,nan,0.469,nan,nan,nan,nan,nan
3465,nan,nan,nan,nan,nan,nan,310.15,5.65,nan,nan,0.54,nan,nan,nan,nan,nan
3466,nan,nan,nan,nan,nan,nan,316.15,5.65,nan,nan,0.612,nan,nan,nan,nan,nan
3467,Goldberg R.N.; Tewari Y.B.; Ahluwalia J.C.; J. Biol. Chem.; 264 9901 (1989).,89GOL/TEW2_943," 3.2.1.26                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium acetate (0.1 mol dm-3), A,298.15,5.65,nan,nan,-15.003,nan,nan,nan,nan,nan
3468,nan,nan,nan,nan,nan,nan,304.15,5.65,nan,nan,-14.523,nan,nan,nan,nan,nan
3469,nan,nan,nan,nan,nan,nan,310.15,5.65,nan,nan,-14.227,nan,nan,nan,nan,nan
3470,nan,nan,nan,nan,nan,nan,316.15,5.65,nan,nan,-13.948,nan,nan,nan,nan,nan
3471,Imai T.; J. Biochem. (Tokyo); 106 938 (1989).,89IMA_948," 3.2.2.6                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris maleate (0.05 mol dm-3), B,312.15,6,1.15,nan,nan,nan,nan,nan,nan,nan
3472,Imai T.; J. Biochem. (Tokyo); 106 938 (1989).,89IMA_949," 3.2.2.6                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris maleate (0.05 mol dm-3), B,312.15,6,0.61,nan,nan,nan,nan,nan,nan,nan
3473,Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.1 mol dm-3) + HCl, D,298.15,8.8,4.23,nan,nan,nan,nan,nan,nan,0.1 megapascals
3474,nan,nan,nan,nan,nan,nan,298.15,8.8,1.33,nan,nan,nan,nan,nan,nan,120.0 megapascals
