Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T(K),pH ,K<sub>c</sub>' ,c(Mg)tot(mol dm<sup>-3</sup>),Km' ,"c(Tris,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(kJ.mol<sup>-1</sup>),c(MgCl2) ,p(MPa),"c(glycerol,mol dm<sup>-3</sup>)",buffer ,"c(CaCl2,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/(n<sup>-1</sup>,"ë«<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",c(nucleotide)tot(mol dm<sup>-3</sup>),"m(MgCl2,mol.kg<sup>-1</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(NaCl,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),pMg ,ë«<sub>r</sub>H(cal) ,I<sub>c</sub>(kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>m</sub>(mol.kg<sup>-1</sup>),"ë«<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",buffer(mol dm<sup>-3</sup>),"c(salt,mol dm<sup>-3</sup>)","c(KCl,mol dm<sup>-3</sup>)",protein ,media ,ë«<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),buffer and/or salt ,salt ,"c(MgCl2,mol dm<sup>-3</sup>)","c(total substrate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),added solute ,I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>c</sub> ,kJ.mol<sup>-1</sup>),"m(KCl,mol.kg<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(MgSO4,mol dm<sup>-3</sup>)",cosolvent ,"c(phosphate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H?(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,solvent ,"c(MnCl2,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),K ,K' 
,,,,,,311.15,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0221
,,,,,,311.15,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0301
,,,,,,311.15,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0465
,,,,,,311.15,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0328
,,,,,,311.15,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0344
,,,,,,311.15,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0511
,,,,,,311.15,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0302
,,,,,,311.15,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014
,,,,,,311.15,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014
,,,,,,311.15,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024
,,,,,,311.15,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.268
,,,,,,311.15,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0197
,,,,,,311.15,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229
,,,,,,311.15,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00829
"Liegel J.; ""The Equilibrium Constant for the Glycine Synthase Reaction""; Thesis The University of Texas (1985).",85LIE_325," 1.8.1.4                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium phosphate (0.050 mol dm-3) or sodium pyrophosphate (0.030 mol dm-3), A,298.15,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.12,,,,,,,,,,,,,,0.1
,,,,,,298.15,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.138
,,,,,,298.15,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.13
,,,,,,298.15,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.1,,,,,,,,,,,,,,0.16
,,,,,,298.15,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.1,,,,,,,,,,,,,,0.264
,,,,,,298.15,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.267
,,,,,,298.15,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.27
,,,,,,298.15,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.294
,,,,,,298.15,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.6,,,,,,,,,,,,,,0.253
,,,,,,298.15,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.329
,,,,,,298.15,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.6,,,,,,,,,,,,,,0.334
,,,,,,298.15,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.35,,,,,,,,,,,,,,0.338
,,,,,,298.15,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.35,,,,,,,,,,,,,,0.287
,,,,,,298.15,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.35,,,,,,,,,,,,,,0.349
,,,,,,298.15,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.445
,,,,,,298.15,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.1,,,,,,,,,,,,,,0.36
,,,,,,298.15,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.579
,,,,,,311.15,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.051
,,,,,,311.15,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.067
,,,,,,311.15,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.088
,,,,,,311.15,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.141
,,,,,,311.15,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.141
,,,,,,311.15,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.138
,,,,,,311.15,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.129
,,,,,,311.15,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.15
,,,,,,311.15,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.139
,,,,,,311.15,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.143
,,,,,,311.15,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.187
,,,,,,311.15,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.197
,,,,,,311.15,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.26
,,,,,,311.15,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.271
,,,,,,311.15,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.25,,,,,,,,,,,,,,0.116
,,,,,,311.15,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.271
,,,,,,311.15,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.266
,,,,,,311.15,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.25,,,,,,,,,,,,,,0.105
,,,,,,311.15,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.34
,,,,,,311.15,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.328
,,,,,,311.15,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.25,,,,,,,,,,,,,,0.257
,,,,,,311.15,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.351
,,,,,,311.15,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.321
,,,,,,311.15,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.309
,,,,,,311.15,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.385
,,,,,,311.15,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.498
,,,,,,311.15,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.634
,,,,,,311.15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,0.62
,,,,,,311.15,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,2.37
,,,,,,311.15,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,2.04
,,,,,,311.15,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,3.55
,,,,,,311.15,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,2.75
,,,,,,311.15,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,3.55
,,,,,,311.15,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,3.86
,,,,,,311.15,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.25,,,,,,,,,,,,,,6.55
Makkee M.; Kieboom A.P.G.; van Bekkum H.; Starch/Stdrke; 37 232 (1985).,85MAK/KIE_1316," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", HPLC,, B,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,1.11
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555,,,,,,,,,,,,,,,,,1.109
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,,,,,,,,,,,,,1.107
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,,,,,,,,,,,,,,,,,1.114
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111,,,,,,,,,,,,,,,,,1.104
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,,,,,,,,,,,,,,,,,1.104
,,,,,,343.35,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.222,,,,,,,,,,,,,,,,,1.105
Rekharsky M.V.; Slozhenikina Yu.B.; Skuya A.Zh.; Egorov A.M.; Gal'chenko G.L.; Thermochim. Acta; 91 79 (1985).,85REK/SLO_987," 3.5.1.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate (0.05 mol dm-3), A,298.15,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.56,,,,,,,,,,,,,,,,
Srinivasan R.; Fisher H.F.; Biochemistry; 24 618 (1985).,85SRI/FIS_293," 1.5.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.01 mol dm-3) and Tris (0.1 mol dm-3), B,298.15,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036
,,,,,,298.15,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036
,,,,,,298.15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036
,,,,,,298.15,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036
Tewari Y.B.; Goldberg R.N.; Biophys. Chem.; 22 197 (1985).,85TEW/GOL2_1295," 5.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, phosphate (0.039 mol dm-3), A,320.25,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146
,,,,,,325.25,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
,,,,,,328.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169
,,,,,,331.95,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199
,,,,,,338.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
,,,,,,343.75,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
Tewari Y.B.; Goldberg R.N.; Biophys. Chem.; 22 197 (1985).,85TEW/GOL2_1377," 5.3.1.20                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, phosphate (0.039 mol dm-3), A,313.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391
,,,,,,320.25,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446
,,,,,,325.25,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484
,,,,,,328.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489
,,,,,,331.95,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521
,,,,,,338.15,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563
,,,,,,343.75,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591
Tewari Y.B.; Goldberg R.N.; Biophys. Chem.; 22 197 (1985).,85TEW/GOL2_1378," 5.3.1.20                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate, A,320.15,~7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.97,,,,,,,,,,,,,,,,
,,,,,,325.35,~7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38,,,,,,,,,,,,,,,,
,,,,,,331.65,~7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11,,,,,,,,,,,,,,,,
,,,,,,338.15,~7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,,,,,,,,,
Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Biophys. Chem.; 22 181 (1985).,85TEW/STE_1328," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, phosphate (0.039 mol dm-3), A,298.35,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172
,,,,,,306.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204
,,,,,,313.25,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237
,,,,,,314.05,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
,,,,,,320.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272
,,,,,,328.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315
,,,,,,335.05,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374
,,,,,,342.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424
Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Biophys. Chem.; 22 181 (1985).,85TEW/STE_1329," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate (~0.025 mol dm-3), A,313.15,7.4,,,,,,,,,,,,,,,,,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,320.15,7.4,,,,,,,,,,,,,,,,,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,325.35,7.4,,,,,,,,,,,,,,,,,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,331.65,7.4,,,,,,,,,,,,,,,,,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,338.15,7.4,,,,,,,,,,,,,,,,,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiesinger H.; Hinz H.J.; Arch. Biochem. Biophys.; 242 440 (1985).,85WIE/HIN_1180," 4.2.1.20                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry and spectrophotometry, sodium diphosphate (0.1 mol dm-3), A,298.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.8,,,,,,,,,,,,,,,,
Wiesinger H.; Hinz H.J.; Arch. Biochem. Biophys.; 242 440 (1985).,85WIE/HIN_1183," 4.2.1.20                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry and spectrophotometry, sodium diphosphate (0.1 mol dm-3) and Tris (0.2 mol dm-3), A,283.15,7.5,,,,,,,,,sodium diphosphate (0.1 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,-78.7,,,,,,,,,,,,,,,,
,,,,,,298.15,7.5,,,,,,,,,sodium diphosphate (0.1 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,-80.3,,,,,,,,,,,,,,,,
,,,,,,298.15,7.5,,,,,,,,,Tris (0.2 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,-81.2,,,,,,,,,,,,,,,,
,,,,,,308.15,7.5,,,,,,,,,sodium diphosphate (0.1 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,-80.6,,,,,,,,,,,,,,,,
Wiesinger H.; Hinz H.J.; Arch. Biochem. Biophys.; 242 440 (1985).,85WIE/HIN_1185," 4.2.1.20                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry and spectrophotometry, sodium diphosphate (0.1 mol dm-3), A,298.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34,,,,,,,,,,,,,,,,
Wiesinger H.; Hinz H.J.; Arch. Biochem. Biophys.; 242 440 (1985).,85WIE/HIN_1187," 4.2.1.20                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, sodium diphosphate (0.1 mol dm-3), A,308.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3,,,,,,,,,,,,,,,,
Casazza J.P.; Veech R.L.; Anal. Biochem.; 159 243 (1986).,86CAS/VEE_366," 2.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, imidazole (0.1 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.0373
Casazza J.P.; Veech R.L.; Anal. Biochem.; 159 243 (1986).,86CAS/VEE_369," 2.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, thiamine pyrophosphate, A,311.15,7,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.48
Casazza J.P.; Veech R.L.; Anal. Biochem.; 159 243 (1986).,86CAS/VEE_374," 2.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, imidazole (0.05 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.37
Casazza J.P.; Veech R.L.; J. Biol. Chem.; 261 690 (1986).,86CAS/VEE2_1248," 5.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, phosphate (0.020 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,1.82
Casazza J.P.; Veech R.L.; J. Biol. Chem.; 261 690 (1986).,86CAS/VEE2_1338," 5.3.1.6                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, phosphate (0.020 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.83
Casazza J.P.; Veech R.L.; J. Biol. Chem.; 261 690 (1986).,86CAS/VEE2_165," 1.1.1.49 & 3.1.1.31                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry,, B,311.15,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
,,,,,,311.15,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8900
,,,,,,311.15,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000
DeWolf W.E.; Emig F.A.; Schramm V.L.; Biochemistry; 25 4132 (1986).,86DEW/EMI_946," 3.2.2.4                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, triethanolamine (0.1 mol dm-3) + HCl, B,303.15,8,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gajewski E.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 261 12733 (1986).,86GAJ/STE_1074," 3.6.1.32                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris + HCl, A,298.15,6.42,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-54.88,,,,,,,,,,,,,,,,
,,,,,,298.15,7.16,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-59.4,,,,,,,,,,,,,,,,
,,,,,,298.15,7.55,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-65.32,,,,,,,,,,,,,,,,
,,,,,,298.15,7.86,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,-67.07,,,,,,,,,,,,,,,,
,,,,,,298.15,7.9,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-65.87,,,,,,,,,,,,,,,,
,,,,,,298.15,8.14,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,-68.28,,,,,,,,,,,,,,,,
,,,,,,298.15,8.19,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,-68.17,,,,,,,,,,,,,,,,
,,,,,,298.15,8.32,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-67.57,,,,,,,,,,,,,,,,
,,,,,,298.15,8.41,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-68.28,,,,,,,,,,,,,,,,
,,,,,,298.15,8.45,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,-68.11,,,,,,,,,,,,,,,,
,,,,,,298.15,8.53,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-70.23,,,,,,,,,,,,,,,,
,,,,,,298.15,8.55,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-71.75,,,,,,,,,,,,,,,,
,,,,,,298.15,8.57,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-68.66,,,,,,,,,,,,,,,,
,,,,,,298.15,8.59,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-68.03,,,,,,,,,,,,,,,,
,,,,,,298.15,8.63,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-67.5,,,,,,,,,,,,,,,,
,,,,,,298.15,8.8,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-68.1,,,,,,,,,,,,,,,,
,,,,,,304.15,8.42,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-69.16,,,,,,,,,,,,,,,,
,,,,,,309.95,8.42,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,-70.25,,,,,,,,,,,,,,,,
Goldberg R.N.; Gajewski E.; Steckler D.K.; Tewari Y.B.; Biophys. Chem.; 24 13 (1986).,86GOL/GAJ_1212," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, phosphate, A,286.15,7.43,,,0.00331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,292.15,7.39,,,0.00374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.25,7.37,,,0.00471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,304.25,7.33,,,0.00559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310.15,7.24,,,0.00854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310.15,7.3,,,0.00507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310.25,7.29,,,0.00669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,316.25,7.35,,,0.00763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
