ID	Equation
L-iditol 2-dehydrogenase	cpd00306 + cpd00003 = cpd00198 + cpd00004
oligo-1,6-glucosidase	cpd00217 + cpd00001 = cpd00026
oligo-1,6-glucosidase	cpd01200 + cpd00001 = cpd00026 + cpd00072
a-glucosidase	cpd00179 + cpd00001 = cpd00026
a-glucosidase	cpd20885 + cpd00001 = cpd00026 + cpd00072
isochorismate synthase	cpd00216 = cpd00658
isochorismate synthase	cpd00216 + cpd00013 = cpd17073 + cpd00001
retinyl-palmitate esterase	cpd01691 + cpd00001 = cpd00365 + cpd00214
4-aminobenzoate synthase	cpd00216 + cpd00013 = cpd08210 + cpd00001
purine-nucleoside phosphorylase and pyrimidine-nucleoside phosphorylase	cpd00068 + cpd00151 = cpd33863 + cpd00114
phosphopentomutase	cpd00475 = cpd00101
5'-nucleosidase	cpd00018 + cpd00001 = cpd00002 + cpd00009
triacylglycerol lipase	cpd23058 + cpd00001 = cpd00536 + cpd23059
triacylglycerol lipase	cpd23059 + cpd00001 = cpd00536 + cpd00080
triacylglycerol lipase	cpd23060 + cpd00001 = cpd00536 + cpd23058
triacylglycerol lipase	cpd23058 + cpd00001 = cpd00536 + cpd23059
triacylglycerol lipase	cpd23059 + cpd00001 = cpd00536 + cpd00080
triacylglycerol lipase	cpd23060 + cpd00001 = cpd00536 + cpd23058
sinapate 1-glucosyltransferase	cpd00026 + cpd00373 = cpd00014 + cpd01867
arginase	cpd00051 + cpd00001 = cpd00064 + cpd00073
arginine deiminase	cpd00051 + cpd00001 = cpd00274 + cpd00013
serine acetyltransferase	cpd00022 + cpd00054 = cpd00010 + cpd00722
tryptophanase	cpd00065 + cpd00001 = cpd00278 + cpd00020 + cpd00013
chorismate mutase	cpd00216 = cpd00219
cyclomaltodextrin glucanotransferase and glucan 1,4-a-glucosidase	cpd24451 + cpd00001 = cpd00026
a-amylase and glucan 1,4-a-glucosidase	cpd09394 + cpd00001 = cpd00026
polyamine aminotransferase	cpd00035 + cpd01504 = cpd00020 + cpd00726
chloine kinase	cpd00002 + cpd00098 = cpd00005 + cpd00457
chorismate lyase	cpd00216 = cpd00136 + cpd00020
tyrosine aminotransferase	cpd00066 + cpd00024 = cpd00143 + cpd00023
tyrosine aminotransferase	cpd00069 + cpd00024 = cpd00868 + cpd00023
prephenate dehydratase	cpd00219 = cpd00143 + cpd00001 + cpd00011
prephenate dehydrogenase	cpd00219 + cpd00003 = cpd00868 + cpd00004 + cpd00011
