,standard_id,url,reference,method,eval,EC,enzyme_name,reaction,description,K,K_prime,temperature,ionic_strength,p_h,p_mg
1396,1396,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=66BER/MOE_133,66BER/MOE,spectrophotometry,B,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,2.43E-05,298.15,,7.37,
1397,1397,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91TEW/GOL_920,91TEW/GOL,calorimetry,A,3.2.1.21,_-glucosidase,kegg:C05402 + kegg:C00001 = kegg:C00124 + kegg:C00031,#NAME?,,,298.15,,5.65,
1398,1398,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=56WOL/KAP_76,56WOL/KAP,chemical analysis and spectrophotometry,C,1.1.1.17,mannitol-1-phosphate dehydrogenase,kegg:C00644 + kegg:C00003 = kegg:C00085 + kegg:C00004,D-mannitol 1-phosphate(aq) + NAD(aq) = D-fructose 6-phosphate(aq) + NADH(aq),,0.0049,296.15,,7,
1399,1399,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68KOH/WAR_87,68KOH/WAR,spectrophotometry,B,1.1.1.26,glyoxylate reductase,kegg:C00258 + kegg:C00003 = kegg:C00168 + kegg:C00004,(R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),,0.0004,298.15,,8.83,
1400,1400,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68KOH/WAR_87,68KOH/WAR,spectrophotometry,B,1.1.1.26,glyoxylate reductase,kegg:C00258 + kegg:C00003 = kegg:C00168 + kegg:C00004,(R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),,0.00023,298.15,,8.5,
1401,1401,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68KOH/WAR_87,68KOH/WAR,spectrophotometry,B,1.1.1.26,glyoxylate reductase,kegg:C00258 + kegg:C00003 = kegg:C00168 + kegg:C00004,(R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),,7.40E-05,298.15,,8.15,
1402,1402,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=68KOH/WAR_87,68KOH/WAR,spectrophotometry,B,1.1.1.26,glyoxylate reductase,kegg:C00258 + kegg:C00003 = kegg:C00168 + kegg:C00004,(R)-glycerate(aq) + NAD(aq) = hydroxypyruvate(aq) + NADH(aq),,0.00023,298.15,,8.5,
1403,1403,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,6.6,323.15,0.25,7,
1404,1404,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,5.73,311.15,0.06,7,
1405,1405,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,5.47,311.15,1,7,
1406,1406,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,9.23,311.15,0.25,9,
1407,1407,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,5.27,311.15,0.25,7,2.08
1408,1408,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,4.26,298.15,0.25,7,
1409,1409,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,4.42,303.15,0.25,7,
1410,1410,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=82GUY_537,82GUY,spectrophotometry,A,2.6.1.51,serine-pyruvate transaminase,kegg:C00041 + kegg:C00168 = kegg:C00065 + kegg:C00022,L-alanine(aq) + hydroxypyruvate(aq) = L-serine(aq) + pyruvate(aq),,5.5,311.15,0.25,7,
1411,1411,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=56RAM/GIR_1352,56RAM/GIR,chemical analysis,C,5.3.1.9,glucose-6-phosphate isomerase,kegg:C00092 = kegg:C00085,D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),,0.67,310.15,,7.65,
1412,1412,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.33,310.15,,7.2,3.7
1413,1413,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.3,310.15,,7.2,3.1
1414,1414,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.36,310.15,,7.2,2.7
1415,1415,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.32,310.15,,7.2,3.4
1416,1416,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.44,310.15,,7.2,2
1417,1417,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.32,310.15,,7.2,3
1418,1418,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.32,310.15,,7.2,3.22
1419,1419,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=81HSI/SU_694,81HSI/SU,enzymatic assay and spectrophotometry,B,2.7.7.9,UTP-glucose-1-phosphate uridylyltransferase,kegg:C00075 + kegg:C00103 = kegg:C00013 + kegg:C00029,UTP(aq) + D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),,0.44,310.15,,7.2,2.4
1420,1420,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=79RAO/KAY_566,79RAO/KAY,NMR,B,2.7.1.40,pyruvate kinase,kegg:C00002 + kegg:C00022 = kegg:C00008 + kegg:C00074,ATP(aq) + pyruvate(aq) = ADP(aq) + phosphoenolpyruvate(aq),,0.0003,288.15,,8,
1421,1421,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=66NAT_1301,66NAT,chromatography,C,5.3.1.5,xylose isomerase,kegg:C00031 = kegg:C00095,D-glucose(aq) = D-fructose(aq),,0.82,313.15,,7,
1422,1422,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=56SMI/STA_1124,56SMI/STA,chemical analysis,B,4.1.3.6,citrate (pro-3S)-lyase,kegg:C00158 = kegg:C00033 + kegg:C00036,citrate(aq) = acetate(aq) + oxaloacetate(aq),,0.64,300.15,,7.6,
1423,1423,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=48OCH_152,48OCH,spectrophotometry,C,1.1.1.42,isocitrate dehydrogenase (NADP+),kegg:C00311 + kegg:C00006 + kegg:C00001 = kegg:C00026 + kegg:C00005 + kegg:C00288,isocitrate(aq) + NADP(aq) + H2O(l) = 2-oxoglutarate(aq) + NADPH(aq) + carbon dioxide(aq),,0.76,295.15,,6.95,
1424,1424,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=89GOL/TEW_418,89GOL/TEW,HPLC,A,2.4.1.7,sucrose phosphorylase,kegg:C00089 + kegg:C00009 = kegg:C00103 + kegg:C00095,sucrose(aq) + orthophosphate(aq) =-D-glucose 1-phosphate(aq) + D-fructose(aq),,31.5,298.15,,8.25,
1425,1425,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54SIS/STA_1427,54SIS/STA,spectrophotometry,B,5.5.1.1,muconate cycloisomerase,kegg:C04105 = kegg:C02480,"2,5-dihydro-5-oxofuran-2-acetate(aq) = cis-cis-hexadienedioate(aq)",,0.078,303.15,,8,
1426,1426,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54SIS/STA_1427,54SIS/STA,spectrophotometry,B,5.5.1.1,muconate cycloisomerase,kegg:C04105 = kegg:C02480,"2,5-dihydro-5-oxofuran-2-acetate(aq) = cis-cis-hexadienedioate(aq)",,0.29,303.15,,9,
1427,1427,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54SIS/STA_1427,54SIS/STA,spectrophotometry,B,5.5.1.1,muconate cycloisomerase,kegg:C04105 = kegg:C02480,"2,5-dihydro-5-oxofuran-2-acetate(aq) = cis-cis-hexadienedioate(aq)",,0.041,303.15,,7.5,
1428,1428,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54SIS/STA_1427,54SIS/STA,spectrophotometry,B,5.5.1.1,muconate cycloisomerase,kegg:C04105 = kegg:C02480,"2,5-dihydro-5-oxofuran-2-acetate(aq) = cis-cis-hexadienedioate(aq)",,0.011,303.15,,6.5,
1429,1429,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=54SIS/STA_1427,54SIS/STA,spectrophotometry,B,5.5.1.1,muconate cycloisomerase,kegg:C04105 = kegg:C02480,"2,5-dihydro-5-oxofuran-2-acetate(aq) = cis-cis-hexadienedioate(aq)",,0.01,303.15,,6,
1430,1430,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=88TEW/STE_1348,88TEW/STE,calorimetry,A,5.3.1.8,mannose-6-phosphate isomerase,kegg:C00275 = kegg:C00085,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),,,298.15,,8.5,
1431,1431,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=88TEW/STE_1348,88TEW/STE,calorimetry,A,5.3.1.8,mannose-6-phosphate isomerase,kegg:C00275 = kegg:C00085,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),,,304.74,,8.5,
1432,1432,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=88TEW/STE_1347,88TEW/STE,calorimetry,A,5.3.1.8,mannose-6-phosphate isomerase,kegg:C00275 = kegg:C00085,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),,1.03,304.75,,8.5,
1433,1433,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=88TEW/STE_1347,88TEW/STE,calorimetry,A,5.3.1.8,mannose-6-phosphate isomerase,kegg:C00275 = kegg:C00085,D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),,0.99,298.15,,8.5,
1434,1434,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67SAK/YOR2_454,67SAK/YOR2,electrophoresis,C,2.4.2.1,purine-nucleoside phosphorylase,kegg:C00212 + kegg:C00009 = kegg:C00147 + kegg:C00620,adenosine(aq) + orthophosphate(aq) = adenine(aq) + D-ribose 1-phosphate(aq),,0.063,310.15,,7,
1435,1435,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67SAK/YOR2_454,67SAK/YOR2,electrophoresis,C,2.4.2.1,purine-nucleoside phosphorylase,kegg:C00212 + kegg:C00009 = kegg:C00147 + kegg:C00620,adenosine(aq) + orthophosphate(aq) = adenine(aq) + D-ribose 1-phosphate(aq),,0.12,310.15,,9,
1436,1436,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=77TRA/JON_481,77TRA/JON,TLC and radioactivity,B,2.4.2.10,orotate phosphoribosyltransferase,kegg:C01103 + kegg:C00013 = kegg:C00295 + kegg:C00119,orotidine 5'-phosphate(aq) + pyrophosphate(aq) = orotate(aq) + 5-phospho--D-ribose 1-diphosphate(aq),,14,310.15,,7.4,
1437,1437,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=61ATK/JOH_772,61ATK/JOH,enzymatic assay and spectrophotometry,A,3.1.3.1,alkaline phosphatase,kegg:C00092 + kegg:C00001 = kegg:C00031 + kegg:C00009,D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),,263,298.15,,7,
1438,1438,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.37,298.15,,8,5.53
1439,1439,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.92,298.15,,8,4.37
1440,1440,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,1.28,298.15,,8,3.84
1441,1441,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,1.06,298.15,,8,3.04
1442,1442,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.92,298.15,,8,3
1443,1443,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.34,298.15,,8,2.28
1444,1444,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.3,298.15,,8,2.08
1445,1445,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.52,298.15,,8,4.88
1446,1446,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,1.14,298.15,,8,3.2
1447,1447,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.67,298.15,,8,2.68
1448,1448,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.46,298.15,,8,2.49
1449,1449,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.32,298.15,,8,2.17
1450,1450,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.34,298.15,,8,5.83
1451,1451,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=91KLE/RAN_654,91KLE/RAN,enzymatic assay and spectrophotometry,B,2.7.4.3,adenylate kinase,2 kegg:C00008 = kegg:C00020 + kegg:C00002,2 ADP(aq) = AMP(aq) + ATP(aq),,0.49,298.15,,8,5.37
1452,1452,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=70WUR/HES_163,70WUR/HES,spectrophotometry,D,1.1.1.49,glucose-6-phosphate dehydrogenase,kegg:C00092 + kegg:C00006 = kegg:C01236 + kegg:C00005,"D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",,52,298.15,,7.6,
1453,1453,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=70WUR/HES_163,70WUR/HES,spectrophotometry,D,1.1.1.49,glucose-6-phosphate dehydrogenase,kegg:C00092 + kegg:C00006 = kegg:C01236 + kegg:C00005,"D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",,1.3,298.15,,6.4,
1454,1454,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.209,318.15,,7,
1455,1455,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.282,331.15,,7,
1456,1456,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.347,341.15,,7,
1457,1457,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.176,311.15,,7,
1458,1458,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.4,348.15,,7,
1459,1459,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=86OLI/TOI_1330,86OLI/TOI,HPLC,B,5.3.1.5,xylose isomerase,kegg:C00181 = kegg:C00310,D-xylose(aq) = D-xylulose(aq),,0.246,325.15,,7,
1460,1460,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=56STE/DEL_1178,56STE/DEL,spectrophotometry,B,4.2.1.17,enoyl-CoA hydratase,kegg:C05268 = kegg:C05271 + kegg:C00001,(3S)-3-hydroxyhexanoyl-CoA(aq) = trans-hex-2-enoyl-CoA(aq) + H2O(l),,0.66,298.15,,7.5,
1461,1461,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=64MIL/AVI_425,64MIL/AVI,,D,2.4.1.13,sucrose synthase,kegg:C00029 + kegg:C00095 = kegg:C00015 + kegg:C00089,UDPglucose(aq) + D-fructose(aq) = UDP(aq) + sucrose(aq),,1.3,298.15,,7.2,
1462,1462,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=69GRE/RUD_836,69GRE/RUD,calorimetry,A,3.1.4.17,phosphodiesterase I,kegg:C00575 + kegg:C00001 = kegg:C00020,adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = AMP(aq),,,298.15,,7.3,
1463,1463,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.00053,298.15,,8.87,
1464,1464,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.00036,298.15,,8.63,
1465,1465,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000637,298.15,,8.85,
1466,1466,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000517,298.15,,8.87,
1467,1467,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000523,298.15,,8.89,
1468,1468,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000523,298.15,,8.86,
1469,1469,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000466,298.15,,8.81,
1470,1470,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000435,298.15,,8.78,
1471,1471,http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BUR/WIL_129,53BUR/WIL,spectrophotometry,A,1.1.1.37,malate dehydrogenase,kegg:C00149 + kegg:C00003 = kegg:C00036 + kegg:C00004,(S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),,0.000446,298.15,,8.75,
