,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
68,,3079759,The interdependence of glycolytic and pentose cycle intermediates in ad libitum fed rats.,<PubMedArticle 3079759> Casazza JP; Veech RL. The interdependence of glycolytic and pentose cycle intermediates in ad libitum fed rats.. J Biol Chem. 1986. 261(2):690-8,1986,Casazza JP; Veech RL,J Biol Chem,261,2,690-8,https://ncbi.nlm.nih.gov/pubmed/3079759,"Equilibrium constants for reactions catalyzed by ribulose-5-phosphate 3-epimerase, [sigma xylulose-5-P]/[sigma ribulose-5-P] = 1.82, ribose-5-phosphate isomerase, [sigma Rib-5-P]/[sigma ribulose-5-P] = 1.20, transaldolase, [sigma erythrose-4-P] [sigma Fru-6-P]/[sigma sedoheptulose-7-P] [sigma glyceraldehyde 3-P] = 0.37, and transketolase, [sigma Fru-6-P] [sigma glyceraldehyde 3-P]/[sigma erythrose-4-P] [sigma xylulose-5-P] = 29.7 and [sigma Rib-5-P] [sigma xylulose-5-P]/[sigma sedoheptulose-7-P] [sigma glyceraldehyde 3-P] = 0.48, were redetermined under physiological conditions. The equilibrium constant for the combined glucose-6-P dehydrogenase and 6-phosphoglucono-gamma-lactonase reaction, [6-phosphogluconate3-] [NADPH] [H+]2/[Glc-6-P2-] [NADP+], was found to be at least 1 X 10(-9). Using these redetermined equilibrium constants, calculated values of pentose cycle intermediates, based on near equilibrium assumptions and the tissue content of Fru-6-P and glyceraldehyde 3-P, were found to be in good agreement with measured values for male Wistar rats injected with saline, 20 mumol/g pyruvate, 20 mumol/g gluconate, and 20 mumol/g ribose. Measured and calculated values for pentose cycle intermediates in saline injected animals were ribulose-5-P; 3.8 +/- 0.4 and 2.4 +/- 0.1 nmol/g; xylulose-5-P, 5.9 +/- 0.6 nmol/g and 4.3 +/- 0.2 nmol/g; sedoheptulose-7-P, 41.5 +/- 2.4 and 37.6 +/- 2.9 nmol/g; and combined sedopheptulose-7-P and Rib-5-P, 43.0 +/- 2.8 nmol/g and 40.5 +/- 3.0 nmol/g; liver content of erythrose-4-P was less than the detection limits of the assay, 2 nmol/g. Calculated erythrose-4-P was 0.23 +/- 0.01 nmol/g. Liver content of 6-phosphogluconate was 8.5 +/- 0.7 nmol/g. The free cytosolic [NADP+]/[NADPH] ratio calculated from the 6-phosphogluconate dehydrogenase redox couple, 0.0030 +/- 0.0002, was also in good agreement with that calculated from the malic enzyme redox couple, 0.0051 +/- 0.0007, and the isocitrate dehydrogenase redox couple, 0.0066 +/- 0.0008. These data indicate the interdependence of the liver content of glycolytic intermediates and pentose cycle intermediates in ad libitum fed rats.",86CAS/VEE2,,86CAS/VEE2_753
69,10.1016/0003-9861(86)90487-x,3083779,Reversion reactions of beta-galactosidase (Escherichia coli).,<PubMedArticle 3083779> Huber RE; Hurlburt KL. Reversion reactions of beta-galactosidase (Escherichia coli).. Arch Biochem Biophys. 1986. 246(1):411-8,1986,Huber RE; Hurlburt KL,Arch Biochem Biophys,246,1,411-8,https://ncbi.nlm.nih.gov/pubmed/3083779,"The reversion reactions of beta-galactosidase (Escherichia coli) produced beta-galactosyl-galactoses and beta-galactosyl-glucoses. About 10 beta-galactosyl-galactose and 10 beta-galactosyl-glucose gas-liquid chromatographic peaks were detected and it is thus very likely that every possible isomer of beta-galactosyl-galactose and beta-galactosyl-glucose was formed by the reversion reactions (taking into account both anomers for each isomer). The presence of lactose and allolactose among the beta-galactosyl-glucoses was confirmed with standards. An important finding relating to the role of allolactose as an inducer of the lac operon was that allolactose (beta-D-galactosyl-(1----6)-D-glucose) was the only disaccharide formed initially, and at equilibrium it was present in the largest amount (50%). Obviously the enzyme is specific in its ability to form allolactose, and allolactose is the most stable beta-galactosyl-glucose, both important inducer properties. The equilibrium constant (concentration of disaccharides divided by the concentration of reactants at equilibrium) of the reaction was about 9.5 mM-1. This is the first report of an equilibrium constant for the beta-galactosidase reaction. Of mechanistic significance is the fact that only three compounds were able to replace D-galactose as a reversion reactant. Two of these (L-arabinose and D-fucose) had alterations at carbon 6. The 6 position, therefore, is not essential for reactivity. The third compound was D-galactal. Any other sugars tested (even with very minor changes relative to D-galactose) did not react. Of special consequence is the 2 position. The results strongly suggest that there has to be either an equatorial hydroxyl at the 2 position of a sugar or a special reactivity (as with D-galactal) in order for the enzyme to catalyze the beta-galactosidase reaction.",86HUB/HUR,10.1016/0003-9861(86)90487-x,86HUB/HUR_930
70,,3117791,"The role of S-adenosylmethionine in the lysine 2,3-aminomutase reaction.","<PubMedArticle 3117791> Moss M; Frey PA. The role of S-adenosylmethionine in the lysine 2,3-aminomutase reaction.. J Biol Chem. 1987. 262(31):14859-62",1987,Moss M; Frey PA,J Biol Chem,262,31,14859-62,https://ncbi.nlm.nih.gov/pubmed/3117791,"The interconversion of L-lysine and L-3,6-diamino-hexanoate (L-beta-lysine) catalyzed by lysine 2,3-aminomutase is known to be stimulated by added S-adenosylmethionine (Chirpich, T. P., Zappia, V., Costilow, R. N., and Barker, H. A. (1970) J. Biol. Chem. 245, 1778-1789). In this paper we show that enzyme activated by S-[2,8,5'-3H]adenosylmethionine catalyzes the conversion of L-lysine to the equilibrium mixture of L-lysine and L-beta-lysine with incorporation of high levels of tritium into both isomers. The tritium levels in the isomers reflect the equilibrium constant for their interconversion, 84% in the L-beta-lysine and 16% in L-lysine compared with Keq = 5.3 +/- 0.3 in the direction of the formation of L-beta-lysine at pH 7.7 and 30 degrees C. No significant tritium is incorporated into lysine from S-[2,8-3H]adenosylmethionine or S-adenosyl[methyl-3H] methionine under comparable conditions. Therefore, the tritium incorporated into lysine in the former reaction arises from the 5'-position of the 5'-deoxyadenosyl group in S-adenosylmethionine. These experiments implicate the 5'-deoxyadenosyl portion of S-adenosylmethionine in the hydrogen transfer mechanism of this reaction, perhaps in a role analogous to that played by the 5'-deoxyadenosyl moiety of deoxyadenosyl cobalamin in coenzyme B12-dependent rearrangements.",87MOS/FRE,,87MOS/FRE_1417
71,,3158649,Steady state kinetics of ATP synthesis and hydrolysis coupled calcium transport catalyzed by the reconstituted sarcoplasmic reticulum ATPase.,<PubMedArticle 3158649> Fagan MH; Dewey TG. Steady state kinetics of ATP synthesis and hydrolysis coupled calcium transport catalyzed by the reconstituted sarcoplasmic reticulum ATPase.. J Biol Chem. 1985. 260(10):6147-52,1985,Fagan MH; Dewey TG,J Biol Chem,260,10,6147-52,https://ncbi.nlm.nih.gov/pubmed/3158649,"The steady state kinetics of calcium transport driven by ATP hydrolysis and ATP synthesis catalyzed by purified, reconstituted calcium ATPase has been investigated as a function of the transmembrane calcium gradient. Purified calcium ATPase was reconstituted into phospholipid vesicles enabling control of the transmembrane calcium gradient. Calcium transport was monitored spectrophotometrically by the calcium indicator, Arsenazo III. Thus, only the enzymatic activity of coupled transport was measured. It was shown under conditions of low external calcium that ATP hydrolysis and synthesis follow simple Michaelis-Menten kinetics and that Michaelis constants obtained for both processes appear independent of the calcium gradient. The maximum velocities for both hydrolysis and synthesis strongly depend on the transmembrane calcium gradient. Based on these results, a mechanism is proposed in which a random addition of substrates for ATP synthesis is followed by random release of ATP and calcium. By measuring the ATP hydrolysis and synthesis under identical conditions, determination of the equilibrium constant for ATP hydrolysis as a function of the transmembrane calcium gradient was possible. Our results indicate that the thermodynamics of the catalytic cycle can be totally accounted for by the energetics of transport of 2.2 +/- 0.3 calciums and the hydrolysis of 1 ATP. An equilibrium constant for ATP hydrolysis in the absence of a calcium gradient was determined to be 4.0 X 10(4).",85FAG/DEW,,85FAG/DEW_1080
72,10.1042/bj2500743,3291854,Benzyl alcohol dehydrogenase and benzaldehyde dehydrogenase II from Acinetobacter calcoaceticus. Purification and preliminary characterization.,<PubMedArticle 3291854> MacKintosh RW; Fewson CA. Benzyl alcohol dehydrogenase and benzaldehyde dehydrogenase II from Acinetobacter calcoaceticus. Purification and preliminary characterization.. Biochem J. 1988. 250(3):743-51,1988,MacKintosh RW; Fewson CA,Biochem J,250,3,743-51,https://ncbi.nlm.nih.gov/pubmed/3291854,"A quick, reliable, purification procedure was developed for purifying both benzyl alcohol dehydrogenase and benzaldehyde dehydrogenase II from a single batch of Acinetobacter calcoaceticus N.C.I.B. 8250. The procedure involved disruption of the bacteria in the French pressure cell and preparation of a high-speed supernatant, followed by chromatography on DEAE-Sephacel, affinity chromatography on Blue Sepharose CL-6B and Matrex Gel Red A, and finally gel filtration through a Superose 12 fast-protein-liquid-chromatography column. The enzymes co-purified as far as the Blue Sepharose CL-6B step were separated on the Matrex Gel Red A column. The final preparations of benzyl alcohol dehydrogenase and benzaldehyde dehydrogenase II gave single bands on electrophoresis under non-denaturing conditions or on SDS/polyacrylamide-gel electrophoresis. The enzymes are tetramers, as judged by comparison of their subunit (benzyl alcohol dehydrogenase, 39,700; benzaldehyde dehydrogenase II, 55,000) and native (benzyl alcohol dehydrogenase, 155,000; benzaldehyde dehydrogenase II, 222,500) Mr values, estimated by SDS/polyacrylamide-gel electrophoresis and gel filtration respectively. The optimum pH values for the oxidation reactions were 9.2 for benzyl alcohol dehydrogenase and 9.5 for benzaldehyde dehydrogenase II. The pH optimum for the reduction reaction for benzyl alcohol dehydrogenase was 8.9. The equilibrium constant for oxidation of benzyl alcohol to benzaldehyde by benzyl alcohol dehydrogenase was determined to be 3.08 x 10(-11) M; the ready reversibility of the reaction catalysed by benzyl alcohol dehydrogenase necessitated the development of an assay procedure in which hydrazine was used to trap the benzaldehyde formed by the NAD+-dependent oxidation of benzyl alcohol. The oxidation reaction catalysed by benzaldehyde dehydrogenase II was essentially irreversible. The maximum velocities for the oxidation reactions catalysed by benzyl alcohol dehydrogenase and benzaldehyde dehydrogenase II were 231 and 76 mumol/min per mg of protein respectively; the maximum velocity of the reduction reaction of benzyl alcohol dehydrogenase was 366 mumol/min per mg of protein. The pI values were 5.0 for benzyl alcohol dehydrogenase and 4.6 for benzaldehyde dehydrogenase II. Neither enzyme activity was affected when assayed in the presence of a range of salts. Absorption spectra of the two enzymes showed no evidence that they contain any cofactors such as cytochrome, flavin, or pyrroloquinoline quinone. The kinetic coefficients of the purified enzymes with benzyl alcohol, benzaldehyde, NAD+ and NADH are also presented.",88MAC/FEW,10.1042/bj2500743,88MAC/FEW_201
73,10.1021/bi00399a057,3327522,Kinetic mechanism of DNA polymerase I (Klenow).,<PubMedArticle 3327522> Kuchta RD; Mizrahi V; Benkovic PA; Johnson KA; Benkovic SJ. Kinetic mechanism of DNA polymerase I (Klenow).. Biochemistry. 1987. 26(25):8410-7,1987,Kuchta RD; Mizrahi V; Benkovic PA; Johnson KA; Benkovic SJ,Biochemistry,26,25,8410-7,https://ncbi.nlm.nih.gov/pubmed/3327522,"The minimal kinetic scheme for DNA polymerization catalyzed by the Klenow fragment of DNA polymerase I (KF) from Escherichia coli has been determined with short DNA oligomers of defined sequence. A key feature of this scheme is a minimal two-step sequence that interconverts the ternary KF.DNAn.dNTP and KF.DNAn+1.PPi complexes. The rate is not limited by the actual polymerization but by a separate step, possibly important in ensuring fidelity [Mizrahi, V., Henrie, R. N., Marlier, J. F., Johnson, K. A., & Benkovic, S. J. (1985) Biochemistry 24, 4010-4018]. Evidence for this sequence is supplied by the observation of biphasic kinetics in single-turnover pyrophosphorolysis experiments (the microscopic reverse of polymerization). Data analysis then provides an estimate of the internal equilibrium constant. The dissociations of DNA, dNTP, and PPi from the various binary and ternary complexes were measured by partitioning (isotope-trapping) experiments. The rate constant for DNA dissociation from KF is sequence dependent and is rate limiting during nonprocessive DNA synthesis. The combination of single-turnover (both directions) and isotope-trapping experiments provides sufficient information to permit a quantitative evaluation of the kinetic scheme for specific DNA sequences.",87KUC/MIZ,10.1021/bi00399a057,87KUC/MIZ_682
74,,3346215,Thermodynamics of isomerization reactions involving sugar phosphates.,<PubMedArticle 3346215> Tewari YB; Steckler DK; Goldberg RN. Thermodynamics of isomerization reactions involving sugar phosphates.. J Biol Chem. 1988. 263(8):3664-9,1988,Tewari YB; Steckler DK; Goldberg RN,J Biol Chem,263,8,3664-9,https://ncbi.nlm.nih.gov/pubmed/3346215,"Thermodynamics of isomerization reactions involving sugar phosphates have been studied using heat-conduction microcalorimetry. For the process glucose 6-phosphate2-(aqueous) = fructose 6-phosphate2- (aqueous), K = 0.285 +/- 0.004, delta Go = 3.11 +/- 0.04 kJ.mol-1, delta Ho = 11.7 +/- 0.2 kJ.mol-1, and delta Cop = 44 +/- 11 J.mol-1.K-1 at 298.15 K. For the process mannose 6-phosphate2- (aqueous) = fructose 6-phosphate2- (aqueous), K = 0.99 +/- 0.05, delta Go = 0.025 +/- 0.13 kJ.mol-1, delta Ho = 8.46 +/- 0.2 kJ.mol-1, and delta Cop = 38 +/- 25 J.mol-1.K-1 at 298.15 K. The standard state is the hypothetical ideal solution of unit molality. An approximate result (-14 +/- 5 kJ.mol-1) was obtained for the enthalpy of isomerization of ribulose 5-phosphate (aqueous) to ribose 5-phosphate (aqueous). The data from the literature on isomerization reactions involving sugar phosphates have been summarized, adjusted to a common reference state, and examined for trends and relationships to each other and to other thermodynamic measurements. Estimates are made for thermochemical parameters to predict the state of equilibrium of the several isomerizations considered herein.",88TEW/STE,,88TEW/STE_1361
75,,3346216,Thermodynamics of hydrolysis of sugar phosphates.,<PubMedArticle 3346216> Tewari YB; Steckler DK; Goldberg RN; Gitomer WL. Thermodynamics of hydrolysis of sugar phosphates.. J Biol Chem. 1988. 263(8):3670-5,1988,Tewari YB; Steckler DK; Goldberg RN; Gitomer WL,J Biol Chem,263,8,3670-5,https://ncbi.nlm.nih.gov/pubmed/3346216,"Thermodynamics of the enzyme-catalyzed (alkaline phosphatase, EC 3.1.3.1) hydrolysis of glucose 6-phosphate, mannose 6-phosphate, fructose 6-phosphate, ribose 5-phosphate, and ribulose 5-phosphate have been investigated using microcalorimetry and, for the hydrolysis of fructose 6-phosphate, chemical equilibrium measurements. Results of these measurements for the processes sugar phosphate2- (aqueous) + H2O (liquid) = sugar (aqueous) + HPO2++-(4) (aqueous) at 25 degrees C follow: delta Ho = 0.91 +/- 0.35 kJ.mol-1 and delta Cop = -48 +/- 18 J.mol-1.K-1 for glucose 6-phosphate; delta Ho = 1.40 +/- 0.31 kJ.mol-1 and delta Cop = -46 +/- 11 J.mol-1.dK-1 for mannose 6-phosphate; delta Go = -13.70 +/- 0.28 kJ.mol-1, delta Ho = -7.61 +/- 0.68 kJ.mol-1, and delta Cop = -28 +/- 42 J.mol-1.K-1 for fructose 6-phosphate; delta Ho = -5.69 +/- 0.52 kJ.mol-1 and delta Cop = -63 +/- 37 J.mol-1.K-1 for ribose 5-phosphate; and delta Ho = -12.43 +/- 0.45 kJ.mol-1 and delta Cop = -84 +/- 30 J.mol-1.K-1 for the hydrolysis of ribulose 5-phosphate. The standard state is the hypothetical ideal solution of unit molality. Estimates are made for the equilibrium constants for the hydrolysis of ribose and ribulose 5-phosphates. The effects of pH, magnesium ion concentration, and ionic strength on the thermodynamics of these reactions are considered.",88TEW/STE2,,88TEW/STE2_814
76,10.1021/bi00404a013,3365378,Triosephosphate isomerase catalysis is diffusion controlled. Appendix: Analysis of triose phosphate equilibria in aqueous solution by 31P NMR.,<PubMedArticle 3365378> Blacklow SC; Raines RT; Lim WA; Zamore PD; Knowles JR. Triosephosphate isomerase catalysis is diffusion controlled. Appendix: Analysis of triose phosphate equilibria in aqueous solution by 31P NMR.. Biochemistry. 1988. 27(4):1158-67,1988,Blacklow SC; Raines RT; Lim WA; Zamore PD; Knowles JR,Biochemistry,27,4,1158-67,https://ncbi.nlm.nih.gov/pubmed/3365378,"The rates of the forward and reverse reactions of triosephosphate isomerase catalyzed by the wild-type and by a sluggish mutant enzyme have been studied in the absence and the presence of several viscosogenic agents. For the mutant enzyme, the kcat for which is some 10(3) times less than that for the wild-type enzyme, the value of kcat/Km with glyceraldehyde phosphate as substrate is almost unaffected by the presence of sucrose or glycerol, even though the concentration of the aldehyde form of the substrate is smaller because of hemiacetal formation. [The nature and relative amounts of the various forms of triose phosphate present in solution (free carbonyl forms, hydrates, dimers, hemiacetal adducts) have been evaluated by 31P NMR and are presented in the Appendix.] The viscosogenic agents cause the substrate to bind more tightly to the enzyme, roughly compensating for the lower substrate concentration. With dihydroxyacetone phosphate as substrate, the values of kcat/Km for the mutant enzyme increase with the addition of viscosogenic agent, consistent with the tighter binding of substrate without (in this case) any concomitant loss due to hemiketal formation. These results for the mutant enzyme (known to be limited in rate by an enolization step in the catalytic mechanism) can be used to interpret the behavior of the wild-type enzyme. Plots of the relative values of kcat/Km for catalysis by the wild-type enzyme (normalized with the corresponding data for the mutant enzyme) against the relative viscosity have slopes close to unity, as predicted by the Stokes-Einstein equation for a cleanly diffusive process. In the presence of polymeric viscosogenic additives such as poly(ethylene glycol), polyacrylamide, or ficoll, no effect on kcat/Km is seen for the wild-type enzyme, consistent with the expectation that molecular diffusion rates are unaffected by the macroviscosity and are only slowed by the presence of smaller agents that raise the microviscosity. These results show that the reaction catalyzed by the wild-type triosephosphate isomerase is limited by the rate at which glyceraldehyde phosphate encounters, or departs from, the active site.",88LIM/RAI,10.1021/bi00404a013,88LIM/RAI_1287
77,,3384815,Purification and characterization of chalcone isomerase from soybeans.,<PubMedArticle 3384815> Bednar RA; Hadcock JR. Purification and characterization of chalcone isomerase from soybeans.. J Biol Chem. 1988. 263(20):9582-8,1988,Bednar RA; Hadcock JR,J Biol Chem,263,20,9582-8,https://ncbi.nlm.nih.gov/pubmed/3384815,"Chalcone isomerase from soybean has been purified 11,000-fold over the crude extract. The purification procedure features pseudo-affinity chromatography on an Amicon Matrex Orange A column with selective elution by a product of the enzymatic reaction. The purified enzyme is greater than 99.5% pure and possesses a specificity activity of 340 IU/mg, which is 520-fold greater than previously reported. The apparent molecular weight of the chalcone isomerase is 24,000 as determined from sodium dodecyl sulfate-polyacrylamide gels and from size exclusion chromatography under native conditions on Sephacryl S-200. The enzyme exists as a monomer that migrates on isoelectric focusing gels with a pI of 5.7. Amino acid analysis indicates that almost 50% of the residues are hydrophobic and yields a partial specific volume of 0.750 ml/g. Chalcone isomerase contains no carbohydrate moieties and has a blocked N terminus. The purified enzyme catalyzes the conversion of 2', 4',4-trihydroxychalcone (I) to (2S)-4',7-dihydroxyflavanone (II) at pH 7.6 with a second order rate constant, kcat/Km, of 1.1 X 10(9) M-1 min-1 and an apparent equilibrium constant, [II]/[I], of 7.6. The rate constant for the conversion of enzyme-bound substrate to the (2S)-flavanone, kcat = 11,000 min-1, exceeds the spontaneous conversion by 36 million-fold. The enzyme catalyzes the formation of (2S)-flavanone over 100,000-fold faster than to the (2R)-flavanone, indicating that the enzyme is highly stereoselective, yielding over 99.999% of the (2S)-flavanone.",88BED/HAD,,88BED/HAD_1430
78,,3429208,A simple steady state kinetic model for alcohol dehydrogenase. Use of reaction progress curves for parameters estimation at pH 7.4.,<PubMedArticle 3429208> Bedino S; Testore G; Obert F. A simple steady state kinetic model for alcohol dehydrogenase. Use of reaction progress curves for parameters estimation at pH 7.4.. Ital J Biochem. 1987. 36(4):243-55,1987,Bedino S; Testore G; Obert F,Ital J Biochem,36,4,243-55,https://ncbi.nlm.nih.gov/pubmed/3429208,"A simple rate equation for alcohol dehydrogenase was obtained by assuming independent binding sites for ethanol and NAD+ and fully competitive inhibition by the products of the reaction, acetaldehyde and NADH. A random binding order was also assumed. The rate equation is described by six parameters: four association constants (two for the substrates and two for the products of the reaction), Vf for the forward direction, and the equilibrium constant of the reaction. The six parameters were determined at pH 7.4 by numerical analysis of progress curves of reactions started with different concentrations of ethanol and NAD+. The parameters for alcohol dehydrogenase partially purified from rat liver were: Km for ethanol = 0.746 mM, Km for NAD+ = 0.0563 mM, Km for acetaldehyde = 7.07 microM, Km for NADH = 4.77 microM and Keq = 2.36 X 10(-4). The computed values allowed a very good simulation of the experimental progress curves and little variation was observed in the kinetic parameters when the reactions were started in the presence of either NADH or acetaldehyde.",87BED/TES,,87BED/TES_20
79,,3528161,Thermodynamics of the hydrolysis of adenosine 5'-triphosphate to adenosine 5'-diphosphate.,<PubMedArticle 3528161> Gajewski E; Steckler DK; Goldberg RN. Thermodynamics of the hydrolysis of adenosine 5'-triphosphate to adenosine 5'-diphosphate.. J Biol Chem. 1986. 261(27):12733-7,1986,Gajewski E; Steckler DK; Goldberg RN,J Biol Chem,261,27,12733-7,https://ncbi.nlm.nih.gov/pubmed/3528161,"The enthalpy of hydrolysis of the enzyme-catalyzed (heavy meromyosin) conversion of adenosine 5'-triphosphate (ATP) to adenosine 5'-diphosphate (ADP) and inorganic phosphate has been investigated using heat-conduction microcalorimetry. Enthalpies of reaction were measured as a function of ionic strength (0.05-0.66 mol kg-1), pH (6.4-8.8), and temperature (25-37 degrees C) in Tris/HCl buffer. The measured enthalpies were adjusted for the effects of proton ionization and metal ion binding, protonation and interaction with the Tris buffer, and ionic strength effects to obtain a value of delta H0 = -20.5 +/- 0.4 kJ mol-1 at 25 degrees C for the process, ATP4-(aq) + H2O(l) = ADP3-(aq) + HPO2-4(aq) + H+(aq) where aq is aqueous and l is liquid. Heat measurements carried out at different temperatures lead to a value of delta C0p = -237 +/- 30 J mol-1 K-1 for the above process.",86GAJ/STE,,86GAJ/STE_1074
80,10.1021/bi00362a022,3741845,AMP nucleosidase: kinetic mechanism and thermodynamics.,<PubMedArticle 3741845> DeWolf WE; Emig FA; Schramm VL. AMP nucleosidase: kinetic mechanism and thermodynamics.. Biochemistry. 1986. 25(14):4132-40,1986,DeWolf WE; Emig FA; Schramm VL,Biochemistry,25,14,4132-40,https://ncbi.nlm.nih.gov/pubmed/3741845,"The kinetic mechanism of AMP nucleosidase (EC 3.2.2.4; AMP + H2O----adenine + ribose 5-phosphate) from Azotobacter vinelandii is rapid-equilibrium random by initial rate studies of the forward and reverse reactions in the presence of MgATP, the allosteric activator. Inactivation-protection studies have established the binding of adenine to AMP nucleosidase in the absence of ribose 5-phosphate. Product inhibition by adenine suggests a dead-end complex of enzyme, AMP, and adenine. Methanol does not act as a nucleophile to replace H2O in the reaction, and products do not exchange into substrate during AMP hydrolysis. Thus, the reactive complex has the properties of concerted hydrolysis by an enzyme-directed water molecule rather than by formation of a covalent intermediate with ribose 5-phosphate. The Vmax in the forward reaction (AMP hydrolysis) is 300-fold greater than that in the reverse reaction. The Keq for AMP hydrolysis has been experimentally determined to be 170 M and is in reasonable agreement with Keq values of 77 and 36 M calculated from Haldane relationships. The equilibrium for enzyme-bound substrate and products strongly favors the enzyme-product ternary complex ([enzyme-adenine ribose 5-phosphate]/[enzyme-AMP] = 480). The temperature dependence of the kinetic constants gave Arrhenius plots with a distinct break between 20 and 25 degrees C. Above 25 degrees C, AMP binding demonstrates a strong entropic effect consistent with increased order in the Michaelis complex. Below 20 degrees C, binding is tighter and the entropic component is lost, indicating distinct enzyme conformations above and below 25 degrees C.(ABSTRACT TRUNCATED AT 250 WORDS)",86DEW/EMI,10.1021/bi00362a022,86DEW/EMI_946
81,10.1111/j.1432-1033.1986.tb09975.x,3769932,Catalysis by hog-kidney aminoacylase does not involve a covalent intermediate.,<PubMedArticle 3769932> Röhm KH; Van Etten RL. Catalysis by hog-kidney aminoacylase does not involve a covalent intermediate.. Eur J Biochem. 1986. 160(2):327-32,1986,Röhm KH; Van Etten RL,Eur J Biochem,160,2,327-32,https://ncbi.nlm.nih.gov/pubmed/3769932,"Hog kidney aminoacylase (N-acylamino acid amidohydrolase; acylase I) is shown to catalyze the exchange of acetate oxygens with water at a significant rate only when alanine is present simultaneously. These studies, conducted using the 18O-isotope induced shift on 13C-NMR spectra, provide evidence in favor of a linear kinetic mechanism as opposed to a 'ping-pong' double-displacement mechanism. At pH values above neutrality, aminoacylase I also catalyzes the exchange of alanine oxygens with those of water. Ionic strength and pH effects on the kinetics of aminoacylase I are examined and the results are interpreted in terms of a model of the enzyme active site.",86ROH/ETT,10.1111/j.1432-1033.1986.tb09975.x,86ROH/ETT_1020
82,10.1111/j.1432-1033.1986.tb10476.x,3792308,Kinetics and equilibrium of enzymatic synthesis of peptides in aqueous/organic biphasic systems. Thermolysin-catalyzed synthesis of N-(benzyloxycarbonyl)-L-aspartyl-L-phenylalanine methyl ester.,<PubMedArticle 3792308> Nakanishi K; Kimura Y; Matsuno R. Kinetics and equilibrium of enzymatic synthesis of peptides in aqueous/organic biphasic systems. Thermolysin-catalyzed synthesis of N-(benzyloxycarbonyl)-L-aspartyl-L-phenylalanine methyl ester.. Eur J Biochem. 1986. 161(3):541-9,1986,Nakanishi K; Kimura Y; Matsuno R,Eur J Biochem,161,3,541-9,https://ncbi.nlm.nih.gov/pubmed/3792308,"We studied kinetics and the equilibrium relationship for the thermolysin-catalyzed synthesis of N-(benzyloxycarbonyl)-L-aspartyl-L-phenylalanine methyl ester (Z-Asp-PheOMe) from N-(benzyloxycarbonyl)-L-aspartic acid (Z-Asp) and L-phenylalanine methyl ester (PheOMe) in an aqueous-organic biphasic system. This is a model reaction giving a condensation product with dissociating groups. The kinetics for the synthesis of Z-Asp-PheOMe in aqueous solution saturated with ethyl acetate was expressed by a rate equation for the rapid-equilibrium random bireactant mechanism, and the reverse hydrolysis reaction was zero-order with respect to Z-Asp-PheOMe concentration. The courses of synthesis of Z-Asp-PheOMe in the biphasic system were well explained, by the rate equations obtained for the aqueous solution and by the partition of substrate and condensation product between the both phases. The rate of synthesis in the biphasic system was much lower than in aqueous solution due to the unfavorable partition of PheOMe in the aqueous phase. The equation for the equilibrium yield of Z-Asp-PheOMe in the biphasic system was derived assuming that only the non-ionized forms of the substrate and condensation product exist in the organic phase. It was found theoretically and experimentally that the yield of Z-Asp-PheOMe is maximum at the aqueous-phase pH of around 5, lower than for synthesis in aqueous solution. The effect of the organic solvent on the rate and equilibrium for the synthesis of Z-Asp-PheOMe could be explained by the variation in the partition coefficient. The effect of the partitioning of substrate on the aqueous-phase pH change was also shown.",86NAK/KIM,10.1111/j.1432-1033.1986.tb10476.x,86NAK/KIM_1081
