Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 malate dehydrogenase and aspartate aminotransferase, L-glutamate(aq) + (S)-malate(aq) + NAD(aq) = L-aspartate(aq) + 2-oxoglutarate(aq) + NADH(aq),Petrucci D.; Amicarelli F.; Paponetti B.; Ragnelli A.M.; Comp. Biochem. Physiol. B; 66 1 (1980).,80PET/AMI_144,298.15,7.4,4.10E-05, , spectrophotometry, Tris (0.090 mol dm-3) + HCl, ," 1.1.1.37 & 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 malate dehydrogenase and aspartate transaminase, L-glutamate(aq) + (S)-malate(aq) + NAD(aq) = L-aspartate(aq) + 2-oxoglutarate(aq) + NADH(aq),Petrucci D.; Amicarelli F.; Paponetti B.; Ragnelli A.M.; Comp. Biochem. Physiol. B; 66 1 (1980).,80PET/AMI_503,298.15,7.4,4.10E-05, , spectrophotometry, Tris (0.090 mol dm-3) + HCl, ," 1.1.1.37 & 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 formate dehydrogenase, formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq),Rekharsky M.V.; Egorov A.M.; Gal'chenko G.L.; Berezin I.V.; Zh. Obsch. Khim. 50 2364 (1980); J. Gen. Chem. USSR Engl. Transl.; 50 1917 (1980).,80REK/EGO_239,298.15,6.02, , , calorimetry, sodium phosphate (0.050 mol dm-3), ," 1.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-15.19
 formate dehydrogenase, formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq), , ,298.15,6.44, , , , , , , , , , ,-14.85
 formate dehydrogenase, formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq), , ,298.15,7.48, , , , , , , , , , ,-14.02
 formate dehydrogenase, formate(aq) + NAD(aq) + H2O(l) = carbon dioxide(aq) + NADH(aq), , ,298.15,8.01, , , , , , , , , , ,-14.18
 hydrogen dehydrogenase, H2(aq) + NAD(aq) = NADH(aq),Rekharsky M.V.; Egorov A.M.; Gal'chenko G.L.; Berezin I.V.; Zh. Obsch. Khim. 50 2364 (1980); J. Gen. Chem. USSR Engl. Transl.; 50 1917 (1980).,80REK/EGO_335,298.15,7.2, , , calorimetry, potassium phosphate (0.050 mol dm-3), ," 1.12.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-27.4
 chymotrypsin, 3-(2-furyl)acryloylimidazole(aq) + H2O(l) = furylacrylic acid(aq) + imidazole(aq),Slightom J.L.; Bolen D.W.; J. Am. Chem. Soc.; 102 6318 (1980).,80SLI/BOL_975,298.15,7.85, , , calorimetry, , ," 3.4.21.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-47.2
 aminoacylase, N-acetyl-L-methionine(aq) + H2O(l) = acetate(aq) + L-methionine(aq),Svedas V.K.; Galaev I.Yu.; Berezin I.V.; Biokhimiya; 45 1833 (1980).,80SVE/GAL_1023,298.15,7.5,3.6, , , none, ," 3.5.1.14                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, ampicillin(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + D(-)-Î±-aminophenylacetic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1005,298.15,4.5,0.006, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, ampicillin(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + D(-)-Î±-aminophenylacetic acid(aq), , ,298.15,5,0.013, , , , , , , , , , 
 penicillin amidase, cephalexin(aq) + H2O(l) = 7-aminodeacetoxycephalosporanic acid(aq) + D(-)-Î±-aminophenylacetic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1006,298.15,5.8,0.044, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, cephaloridine(aq) + H2O(l) = 2-thienylacetic acid(aq) + 7-amino-3-(1-pyridyl-methyl)-3-cephem-4-carboxylic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1007,298.15,5,0.015, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, cephalothin(aq) + H2O(l) = 2-thienylacetic acid(aq) + 7-aminocephalosporanic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1008,298.15,5,0.007, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, penicillin G(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + phenylacetic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1010,298.15,5,0.004, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, penicillin G(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + phenylacetic acid(aq), , ,298.15,6,0.02, , , , , , , , , , 
 penicillin amidase, penicillinoic acid(aq) + H2O(l) = penicic acid(aq) + phenylacetic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1014,298.15,7,1.8, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, 7-phenylacetamidodeacetoxycephalosporanic acid(aq) + H2O(l) = 7-aminodeacetoxycephalosporanic acid(aq) + phenylacetic acid(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1016,298.15,5,0.0007, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 penicillin amidase, phenylacetylglycine(aq) + H2O(l) = phenylacetic acid(aq) + glycine(aq),Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1017,298.15,7,1.2, , spectrophotometry, citrate, ," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 urease, ammonium carbamate(aq) + H2O(l) = 2 ammonia(aq) + carbon dioxide(aq),Terekhina T.P.; Rabovskaya N.S.; Biokhimiya; 45 299 (1980).,80TER/RAB_994,293.15,6.5,1920, , spectrophotometry, ,0.0 % DMSO," 3.5.1.5                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 urease, ammonium carbamate(aq) + H2O(l) = 2 ammonia(aq) + carbon dioxide(aq), , ,293.15,6.5,1500, , , ,10.0 % DMSO, , , , , , 
 urease, ammonium carbamate(aq) + H2O(l) = 2 ammonia(aq) + carbon dioxide(aq), , ,293.15,6.5,1230, , , ,20.0 % DMSO, , , , , , 
 urease, ammonium carbamate(aq) + H2O(l) = 2 ammonia(aq) + carbon dioxide(aq), , ,293.15,6.5,1710, , , ,5.0 % DMSO, , , , , , 
 urease, ammonium carbamate(aq) + H2O(l) = 2 ammonia(aq) + carbon dioxide(aq), , ,310.15,6.5,1030, , , ,0.0 % DMSO, , , , , , 
 xylose isomerase, D-xylose(aq) = D-xylulose(aq),Gong C.-S.; Chen L.-F.; Flickinger M.C.; Chiang L.-C.; Tsao G.T.; Appl. Environ. Microbiol.; 41 430 (1981).,81GON/CHE_1326,313.15,6,0.2, , chemical analysis, sodium phosphate (0.05 mol dm-3), ," 5.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 alanine dehydrogenase, L-alanine(aq) + NAD(aq) + H2O(l) = pyruvate(aq) + NADH(aq) + ammonia(aq),Grimshaw C.E.; Cleland W.W.; Biochemistry; 20 5650 (1981).,81GRI/CLE_272,298.15,7.9,4.30E-06, , spectrophotometry, N-tris(hydroxymethyl)methyl-2-amino-ethanesulfonic acid (0.050 mol dm-3), ," 1.4.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 myosin ATPase, GTP(aq) + H2O(l) = GDP(aq) + orthophosphate(aq),Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_1076,298.15,8, , , calorimetry, Tris (0.1 mol dm-3), ," 3.6.1.32                                                    (ENZYME |                                                 KEGG)                                                ", ,0.6 KCl & 0.6 KCl, , ,-70.6
 myosin ATPase, GTP(aq) + H2O(l) = GDP(aq) + orthophosphate(aq), , ,298.15,9, , , , , , , ,0.6 KCl & 0.6 KCl, , ,-71.4
 alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq),Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_769,298.15,8, , , calorimetry, Tris and Hepes, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.6 KCl & 0.6 KCl, , ,-43.6
 alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq), , ,298.15,9, , , ,Hepes, , , ,0.6 KCl & 0.6 KCl, , ,-42.8
 alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq), , ,298.15,9, , , ,Tris, , , ,0.6 KCl & 0.6 KCl, , ,-69.2
 alkaline phosphatase, GMP(aq) + H2O(l) = guanosine(aq) + orthophosphate(aq),Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_781,298.15,9, , , calorimetry, Tris and Hepes, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.6 KCl & 0.6 KCl, , ,2.7
 alkaline phosphatase, GMP(aq) + H2O(l) = guanosine(aq) + orthophosphate(aq), , ,298.15,9, , , ,Tris, , , ,0.6 KCl & 0.6 KCl, , ,2.6
 alkaline phosphatase, GTP(aq) + 3 H2O(l) = guanosine(aq) + 3 orthophosphate(aq),Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_782,298.15,8, , , calorimetry, Tris and Hepes, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", ,0.6 KCl & 0.6 KCl, , ,-90
 alkaline phosphatase, GTP(aq) + 3 H2O(l) = guanosine(aq) + 3 orthophosphate(aq), , ,298.15,9, , , ,Hepes, , , ,0.6 KCl & 0.6 KCl, , ,-88.7
 alkaline phosphatase, GTP(aq) + 3 H2O(l) = guanosine(aq) + 3 orthophosphate(aq), , ,298.15,9, , , ,Tris, , , ,0.6 KCl & 0.6 KCl, , ,-141.8
 alkaline phosphatase, GTP(aq) + 3 H2O(l) = guanosine(aq) + 3 orthophosphate(aq), , ,308.15,9, , , ,Tris, , , ,0.6 KCl & 0.6 KCl, , ,-141.6
 sorbitol-6-phosphate dehydrogenase (NADP+), D-sorbitol 6-phosphate(aq) + NADP(aq) = D-glucose 6-phosphate(aq) + NADPH(aq),Hirai M.; Plant Physiol.; 67 221 (1981).,81HIR_225,303.15,8.66,0.234, , , Tris (0.05 mol dm-3) + HCl, ," 1.1.1.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),Hsiao P.-H.; Su J.-C.; Sung H.-Y.; Proc. Natl. Sci. Counc. Repub. China; 5 31 (1981).,81HSI/SU_694,310.15,7.2,0.33, , enzymatic assay and spectrophotometry, Tris (0.00020 mol dm-3) + HCl, ," 2.7.7.9                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0002 MgSO4 & 0.0002 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.32, , , , , , ,0.0004 MgSO4 & 0.0004 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.32, , , , , , ,0.0006 MgSO4 & 0.0006 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.3, , , , , , ,0.0008 MgSO4 & 0.0008 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.32, , , , , , ,0.001 MgSO4 & 0.001 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.36, , , , , , ,0.002 MgSO4 & 0.002 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.44, , , , , , ,0.004 MgSO4 & 0.004 MgSO4, , , 
 UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq), , ,310.15,7.2,0.44, , , , , , ,0.01 MgSO4 & 0.01 MgSO4, , , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq),Merrill D.K.; McAlexander J.C.; Guynn R.W.; Arch. Biochem. Biophys.; 212 717 (1981).,81MER/MCA_204,298.15,7.3,2.28E-06, , enzymatic assay and spectrophotometry, , ," 1.1.1.95                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,298.15,7.32,2.45E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,6.76,1.53E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,6.77,1.64E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7,2.57E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.15, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7,3.14E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7,3.77E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.75, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.02,3.10E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.03,3.14E-06, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.12,2.83E-06, , , , , , ,0.005 MgCl2 & 0.005 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.12,2.61E-06, , , , , , ,0.02 MgCl2 & 0.02 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.34,1.28E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.53,1.12E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.54,1.23E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.56,1.09E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.64,1.46E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,7.92,2.86E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoglycerate dehydrogenase, 3-phospho-D-glycerate(aq) + NAD(aq) = 3-phosphohydroxypyruvate(aq) + NADH(aq), , ,311.15,8.1,3.28E-05, , , , , , ,0.0 MgCl2 & 0.0 MgCl2,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),Merrill D.K.; McAlexander J.C.; Guynn R.W.; Arch. Biochem. Biophys.; 212 717 (1981).,81MER/MCA_539,311.15,6.81,85.4, , enzymatic assay and spectrophotometry, phosphate (0.025 mol dm-3), ," 2.6.1.52                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.83,78, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.91,87.7, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.92,100, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.92,82.6, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.94,83.7, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.94,90.7, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.94,93.9, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.94,98.8, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.96,81.8, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.98,101, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.98,85, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,6.98,88.1, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,101, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.07, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,103, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.07, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,110, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.07, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,112, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.07, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,89.5, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,69.5, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.5, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,73.9, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.5, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,74.6, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.5, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,84.7, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.5, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,64, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.75, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,65.5, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.75, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,67.9, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.75, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,68, , , , , , ,0.0 Mg2+ & 0.0 Mg2+,0.75, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,73, , , , , , ,0.011 Mg2+ & 0.011 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,73.5, , , , , , ,0.0112 Mg2+ & 0.0112 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,93.4, , , , , , ,0.00131 Mg2+ & 0.00131 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,95.1, , , , , , ,0.00131 Mg2+ & 0.00131 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,79.6, , , , , , ,0.00202 Mg2+ & 0.00202 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,80.6, , , , , , ,0.00203 Mg2+ & 0.00203 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,91.6, , , , , , ,0.00265 Mg2+ & 0.00265 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,88.9, , , , , , ,0.00268 Mg2+ & 0.00268 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,83.6, , , , , , ,0.0041 Mg2+ & 0.0041 Mg2+,0.25, , 
 phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq), , ,311.15,7,88.6, , , , , , ,0.00412 Mg2+ & 0.00412 Mg2+,0.25, , 
